GRID_NUM,CENTLAT,CENTLON,LFA,GridGrouping,Period1,Period2,Period3,Period4,Period1.Start,Period1.End,Period2.Start,Period2.End,Period3.Start,Period3.End,Period4.Start,Period4.End
306,43.68,-65.067,33,1,28,20,46,,11,12,1,3,4,5,,
307,43.734,-64.979,33,1,28,20,46,,11,12,1,3,4,5,,
308,43.784,-64.869,33,2,9,7,18,,11,12,1,3,4,5,,
309,43.895,-64.736,33,2,9,7,18,,11,12,1,3,4,5,,
310,43.995,-64.62,33,2,9,7,18,,11,12,1,3,4,5,,
311,44.094,-64.502,33,3,24,15,40,,11,12,1,3,4,5,,
312,44.209,-64.345,33,3,24,15,40,,11,12,1,3,4,5,,
313,44.266,-64.24,33,3,24,15,40,,11,12,1,3,4,5,,
314,44.374,-64.164,33,3,24,15,40,,11,12,1,3,4,5,,
315,44.515,-64.25,33,3,24,15,40,,11,12,1,3,4,5,,
316,44.481,-64.147,33,3,24,15,40,,11,12,1,3,4,5,,
317,44.379,-64.044,33,3,24,15,40,,11,12,1,3,4,5,,
318,44.605,-63.972,33,4,20,11,27,,11,12,1,3,4,5,,
319,44.472,-63.874,33,4,20,11,27,,11,12,1,3,4,5,,
320,44.431,-63.712,33,4,20,11,27,,11,12,1,3,4,5,,
321,44.412,-63.531,33,4,20,11,27,,11,12,1,3,4,5,,
322,44.284,-63.052,33,4,20,11,27,,11,12,1,3,4,5,,
469,43.196,-65.306,33,5,12,14,13,,11,12,1,3,4,5,,
470,43.244,-65.234,33,5,12,14,13,,11,12,1,3,4,5,,
471,43.296,-65.158,33,5,12,14,13,,11,12,1,3,4,5,,
472,43.338,-65.095,33,5,12,14,13,,11,12,1,3,4,5,,
473,43.372,-65.031,33,5,12,14,13,,11,12,1,3,4,5,,
474,43.414,-64.945,33,5,12,14,13,,11,12,1,3,4,5,,
475,43.461,-64.85,33,5,12,14,13,,11,12,1,3,4,5,,
476,43.543,-64.716,33,6,7,7,7,,11,12,1,3,4,5,,
477,43.641,-64.566,33,6,7,7,7,,11,12,1,3,4,5,,
478,43.721,-64.441,33,6,7,7,7,,11,12,1,3,4,5,,
479,43.792,-64.319,33,7,4,3,2,,11,12,1,3,4,5,,
480,43.877,-64.169,33,7,4,3,2,,11,12,1,3,4,5,,
481,44.009,-64.089,33,7,4,3,2,,11,12,1,3,4,5,,
482,43.843,-63.887,33,8,0,1,1,,11,12,1,3,4,5,,
483,43.812,-63.722,33,8,0,1,1,,11,12,1,3,4,5,,
484,43.852,-63.36,33,8,0,1,1,,11,12,1,3,4,5,,
485,42.808,-65.132,33,9,3,8,4,,11,12,1,3,4,5,,
486,42.884,-65.052,33,9,3,8,4,,11,12,1,3,4,5,,
487,42.93,-64.969,33,9,3,8,4,,11,12,1,3,4,5,,
488,42.966,-64.901,33,9,3,8,4,,11,12,1,3,4,5,,
489,43.002,-64.833,33,9,3,8,4,,11,12,1,3,4,5,,
490,43.048,-64.75,33,9,3,8,4,,11,12,1,3,4,5,,
491,43.096,-64.658,33,9,3,8,4,,11,12,1,3,4,5,,
492,43.167,-64.523,33,10,0,0,1,,11,12,1,3,4,5,,
493,43.253,-64.363,33,10,0,0,1,,11,12,1,3,4,5,,
494,43.324,-64.232,33,10,0,0,1,,11,12,1,3,4,5,,
495,43.396,-64.107,33,10,0,0,1,,11,12,1,3,4,5,,
496,43.47,-63.968,33,10,0,0,1,,11,12,1,3,4,5,,
42,44.917,-66.25,34,7,5,8,11,,11,12,1,3,4,5,,
43,44.917,-66.083,34,7,5,8,11,,11,12,1,3,4,5,,
44,44.917,-65.917,34,7,5,8,11,,11,12,1,3,4,5,,
53,44.75,-66.25,34,7,5,8,11,,11,12,1,3,4,5,,
54,44.75,-66.083,34,7,5,8,11,,11,12,1,3,4,5,,
55,44.75,-65.917,34,7,5,8,11,,11,12,1,3,4,5,,
66,44.583,-66.417,34,7,5,8,11,,11,12,1,3,4,5,,
67,44.583,-66.25,34,7,5,8,11,,11,12,1,3,4,5,,
68,44.583,-66.083,34,7,5,8,11,,11,12,1,3,4,5,,
69,44.583,-65.917,34,1,25,19,45,,11,12,1,3,4,5,,
77,44.417,-66.75,34,7,5,8,11,,11,12,1,3,4,5,,
78,44.417,-66.583,34,7,5,8,11,,11,12,1,3,4,5,,
79,44.417,-66.417,34,7,5,8,11,,11,12,1,3,4,5,,
80,44.417,-66.25,34,7,5,8,11,,11,12,1,3,4,5,,
81,44.417,-66.083,34,1,25,19,45,,11,12,1,3,4,5,,
88,44.25,-66.917,34,5,6,7,4,,11,12,1,3,4,5,,
89,44.25,-66.75,34,5,6,7,4,,11,12,1,3,4,5,,
90,44.25,-66.583,34,3,10,7,10,,11,12,1,3,4,5,,
91,44.25,-66.417,34,1,25,19,45,,11,12,1,3,4,5,,
92,44.25,-66.25,34,1,25,19,45,,11,12,1,3,4,5,,
98,44.083,-67.083,34,5,6,7,4,,11,12,1,3,4,5,,
99,44.083,-66.917,34,5,6,7,4,,11,12,1,3,4,5,,
100,44.083,-66.75,34,3,10,7,10,,11,12,1,3,4,5,,
101,44.083,-66.583,34,3,10,7,10,,11,12,1,3,4,5,,
102,44.083,-66.417,34,1,25,19,45,,11,12,1,3,4,5,,
103,44.083,-66.25,34,1,25,19,45,,11,12,1,3,4,5,,
107,43.85816,-67.36164,34,5,6,7,4,,11,12,1,3,4,5,,
108,43.917,-67.25,34,5,6,7,4,,11,12,1,3,4,5,,
109,43.917,-67.083,34,5,6,7,4,,11,12,1,3,4,5,,
110,43.917,-66.917,34,5,6,7,4,,11,12,1,3,4,5,,
111,43.917,-66.75,34,3,10,7,10,,11,12,1,3,4,5,,
112,43.917,-66.583,34,3,10,7,10,,11,12,1,3,4,5,,
113,43.917,-66.417,34,1,25,19,45,,11,12,1,3,4,5,,
114,43.917,-66.25,34,1,25,19,45,,11,12,1,3,4,5,,
118,43.75,-67.36015,34,5,6,7,4,,11,12,1,3,4,5,,
119,43.75,-67.25,34,5,6,7,4,,11,12,1,3,4,5,,
120,43.75,-67.083,34,5,6,7,4,,11,12,1,3,4,5,,
121,43.75,-66.917,34,5,6,7,4,,11,12,1,3,4,5,,
122,43.75,-66.75,34,3,10,7,10,,11,12,1,3,4,5,,
123,43.75,-66.583,34,3,10,7,10,,11,12,1,3,4,5,,
124,43.75,-66.417,34,2A,28,20,88,,11,12,1,3,4,5,,
125,43.75,-66.25,34,2A,28,20,88,,11,12,1,3,4,5,,
126,43.75,-66.083,34,2A,28,20,88,,11,12,1,3,4,5,,
127,43.75,-65.917,34,2A,28,20,88,,11,12,1,3,4,5,,
132,43.583,-67.25,34,5,6,7,4,,11,12,1,3,4,5,,
133,43.583,-67.083,34,5,6,7,4,,11,12,1,3,4,5,,
134,43.583,-66.917,34,5,6,7,4,,11,12,1,3,4,5,,
135,43.583,-66.75,34,5,6,7,4,,11,12,1,3,4,5,,
136,43.583,-66.583,34,4A,26,14,28,,11,12,1,3,4,5,,
137,43.583,-66.417,34,4A,26,14,28,,11,12,1,3,4,5,,
138,43.583,-66.25,34,2A,28,20,88,,11,12,1,3,4,5,,
139,43.583,-66.083,34,2A,28,20,88,,11,12,1,3,4,5,,
140,43.583,-65.917,34,2A,28,20,88,,11,12,1,3,4,5,,
141,43.583,-65.75,34,2A,28,20,88,,11,12,1,3,4,5,,
148,43.417,-67.25,34,6,6,7,6,,11,12,1,3,4,5,,
149,43.417,-67.083,34,6,6,7,6,,11,12,1,3,4,5,,
150,43.417,-66.917,34,6,6,7,6,,11,12,1,3,4,5,,
151,43.417,-66.75,34,6,6,7,6,,11,12,1,3,4,5,,
152,43.417,-66.583,34,4A,26,14,28,,11,12,1,3,4,5,,
153,43.417,-66.417,34,4A,26,14,28,,11,12,1,3,4,5,,
154,43.417,-66.25,34,4A,26,14,28,,11,12,1,3,4,5,,
155,43.417,-66.083,34,2A,28,20,88,,11,12,1,3,4,5,,
156,43.417,-65.917,34,2A,28,20,88,,11,12,1,3,4,5,,
157,43.417,-65.75,34,2B,36,28,78,,11,12,1,3,4,5,,
158,43.417,-65.583,34,2B,36,28,78,,11,12,1,3,4,5,,
159,43.417,-65.48688,34,2B,36,28,78,,11,12,1,3,4,5,,
167,43.25,-67.083,34,6,6,7,6,,11,12,1,3,4,5,,
168,43.25,-66.917,34,6,6,7,6,,11,12,1,3,4,5,,
169,43.25,-66.75,34,6,6,7,6,,11,12,1,3,4,5,,
170,43.25,-66.583,34,4A,26,14,28,,11,12,1,3,4,5,,
171,43.25,-66.417,34,4A,26,14,28,,11,12,1,3,4,5,,
172,43.25,-66.25,34,4A,26,14,28,,11,12,1,3,4,5,,
173,43.25,-66.083,34,2B,36,28,78,,11,12,1,3,4,5,,
174,43.25,-65.917,34,2B,36,28,78,,11,12,1,3,4,5,,
175,43.25,-65.75,34,2B,36,28,78,,11,12,1,3,4,5,,
176,43.25,-65.583,34,2B,36,28,78,,11,12,1,3,4,5,,
177,43.25,-65.417,34,2B,36,28,78,,11,12,1,3,4,5,,
185,43.083,-67.083,34,6,6,7,6,,11,12,1,3,4,5,,
186,43.083,-66.917,34,6,6,7,6,,11,12,1,3,4,5,,
187,43.083,-66.75,34,6,6,7,6,,11,12,1,3,4,5,,
188,43.083,-66.583,34,4A,26,14,28,,11,12,1,3,4,5,,
189,43.083,-66.417,34,4A,26,14,28,,11,12,1,3,4,5,,
190,43.083,-66.25,34,4A,26,14,28,,11,12,1,3,4,5,,
191,43.083,-66.083,34,4B,9,6,6,,11,12,1,3,4,5,,
192,43.083,-65.917,34,4B,9,6,6,,11,12,1,3,4,5,,
193,43.083,-65.75,34,4B,9,6,6,,11,12,1,3,4,5,,
194,43.083,-65.583,34,4B,9,6,6,,11,12,1,3,4,5,,
195,43.083,-65.417,34,4B,9,6,6,,11,12,1,3,4,5,,
196,43.083,-65.25,34,4B,9,6,6,,11,12,1,3,4,5,,
204,42.917,-66.917,34,6,6,7,6,,11,12,1,3,4,5,,
205,42.917,-66.75,34,6,6,7,6,,11,12,1,3,4,5,,
206,42.917,-66.583,34,6,6,7,6,,11,12,1,3,4,5,,
207,42.917,-66.417,34,6,6,7,6,,11,12,1,3,4,5,,
208,42.917,-66.25,34,6,6,7,6,,11,12,1,3,4,5,,
209,42.917,-66.083,34,6,6,7,6,,11,12,1,3,4,5,,
210,42.917,-65.917,34,6,6,7,6,,11,12,1,3,4,5,,
211,42.917,-65.75,34,6,6,7,6,,11,12,1,3,4,5,,
212,42.917,-65.583,34,6,6,7,6,,11,12,1,3,4,5,,
213,42.917,-65.417,34,6,6,7,6,,11,12,1,3,4,5,,
214,42.917,-65.25,34,6,6,7,6,,11,12,1,3,4,5,,
223,42.75,-66.75,34,6,6,7,6,,11,12,1,3,4,5,,
224,42.75,-66.583,34,6,6,7,6,,11,12,1,3,4,5,,
1,45.75,-64.583,35,1,9,3,8,,10,12,4,5,6,7,,
2,45.563,-64.917,35,1,9,3,8,,10,12,4,5,6,7,,
3,45.583,-64.75,35,1,9,3,8,,10,12,4,5,6,7,,
6,45.417,-65.083,35,1,9,3,8,,10,12,4,5,6,7,,
7,45.417,-64.961,35,1,9,3,8,,10,12,4,5,6,7,,
11,45.25,-65.417,35,2,18,5,18,,10,12,4,5,6,7,,
12,45.25,-65.25,35,2,18,5,18,,10,12,4,5,6,7,,
13,45.25,-65.083,35,1,9,3,8,,10,12,4,5,6,7,,
14,45.25,-64.917,35,1,9,3,8,,10,12,4,5,6,7,,
15,45.25,-64.75,35,1,9,3,8,,10,12,4,5,6,7,,
16,45.308,-64.583,35,1,9,3,8,,10,12,4,5,6,7,,
17,45.342,-64.417,35,1,9,3,8,,10,12,4,5,6,7,,
18,45.25,-64.25,35,1,9,3,8,,10,12,4,5,6,7,,
19,45.305,-64.083,35,1,9,3,8,,10,12,4,5,6,7,,
20,45.324,-63.862,35,1,9,3,8,,10,12,4,5,6,7,,
32,45.083,-65.75,35,2,18,5,18,,10,12,4,5,6,7,,
33,45.083,-65.583,35,2,18,5,18,,10,12,4,5,6,7,,
34,45.083,-65.417,35,2,18,5,18,,10,12,4,5,6,7,,
35,45.083,-65.25,35,2,18,5,18,,10,12,4,5,6,7,,
36,45.083,-65.083,35,1,9,3,8,,10,12,4,5,6,7,,
44,44.917,-65.917,35,2,18,5,18,,10,12,4,5,6,7,,
45,44.917,-65.75,35,2,18,5,18,,10,12,4,5,6,7,,
46,44.917,-65.583,35,2,18,5,18,,10,12,4,5,6,7,,
47,44.917,-65.417,35,2,18,5,18,,10,12,4,5,6,7,,
55,44.75,-65.874,35,2,18,5,18,,10,12,4,5,6,7,,
56,44.75,-65.75,35,2,18,5,18,,10,12,4,5,6,7,,
57,44.656,-65.695,35,2,18,5,18,,10,12,4,5,6,7,,
4,45.389,-65.409,36,1,7,0,3,7,11,12,1,3,4,5,6,7
5,45.417,-65.25,36,1,7,0,3,7,11,12,1,3,4,5,6,7
6,45.417,-65.083,36,1,7,0,3,7,11,12,1,3,4,5,6,7
8,45.219,-66.083,36,1,7,0,3,7,11,12,1,3,4,5,6,7
9,45.228,-65.75,36,1,7,0,3,7,11,12,1,3,4,5,6,7
10,45.25,-65.583,36,1,7,0,3,7,11,12,1,3,4,5,6,7
11,45.25,-65.417,36,1,7,0,3,7,11,12,1,3,4,5,6,7
12,45.25,-65.25,36,1,7,0,3,7,11,12,1,3,4,5,6,7
13,45.25,-65.083,36,1,7,0,3,7,11,12,1,3,4,5,6,7
25,45.075,-66.99,36,2,29,1,17,18,11,12,1,3,4,5,6,7
26,45.027,-66.748,36,2,29,1,17,18,11,12,1,3,4,5,6,7
27,45.065,-66.583,36,2,29,1,17,18,11,12,1,3,4,5,6,7
28,45.051,-66.417,36,2,29,1,17,18,11,12,1,3,4,5,6,7
29,45.083,-66.25,36,2,29,1,17,18,11,12,1,3,4,5,6,7
30,45.083,-66.083,36,1,7,0,3,7,11,12,1,3,4,5,6,7
31,45.083,-65.917,36,1,7,0,3,7,11,12,1,3,4,5,6,7
32,45.083,-65.75,36,1,7,0,3,7,11,12,1,3,4,5,6,7
33,45.083,-65.583,36,1,7,0,3,7,11,12,1,3,4,5,6,7
34,45.083,-65.417,36,1,7,0,3,7,11,12,1,3,4,5,6,7
37,44.917,-67.083,36,2,29,1,17,18,11,12,1,3,4,5,6,7
38,44.917,-66.861,36,2,29,1,17,18,11,12,1,3,4,5,6,7
39,44.953,-66.75,36,2,29,1,17,18,11,12,1,3,4,5,6,7
40,44.967,-66.583,36,2,29,1,17,18,11,12,1,3,4,5,6,7
41,44.967,-66.417,36,2,29,1,17,18,11,12,1,3,4,5,6,7
42,44.917,-66.25,36,2,29,1,17,18,11,12,1,3,4,5,6,7
43,44.917,-66.083,36,2,29,1,17,18,11,12,1,3,4,5,6,7
44,44.917,-65.917,36,1,7,0,3,7,11,12,1,3,4,5,6,7
45,44.917,-65.75,36,1,7,0,3,7,11,12,1,3,4,5,6,7
49,44.75,-66.917,36,2,29,1,17,18,11,12,1,3,4,5,6,7
39,44.953,-66.75,38,1,11,5,6,6,11,12,1,3,4,5,6,6
40,44.967,-66.583,38,1,11,5,6,6,11,12,1,3,4,5,6,6
41,44.967,-66.417,38,1,11,5,6,6,11,12,1,3,4,5,6,6
42,44.917,-66.25,38,1,11,5,6,6,11,12,1,3,4,5,6,6
49,44.75,-66.917,38,2,11,4,10,7,11,12,1,3,4,5,6,6
50,44.75,-66.75,38,1,11,5,6,6,11,12,1,3,4,5,6,6
51,44.75,-66.583,38,1,11,5,6,6,11,12,1,3,4,5,6,6
52,44.75,-66.417,38,1,11,5,6,6,11,12,1,3,4,5,6,6
53,44.752,-66.271,38,1,11,5,6,6,11,12,1,3,4,5,6,6
61,44.536,-67.185,38,2,11,4,10,7,11,12,1,3,4,5,6,6
62,44.583,-67.083,38,2,11,4,10,7,11,12,1,3,4,5,6,6
63,44.583,-66.917,38,2,11,4,10,7,11,12,1,3,4,5,6,6
64,44.583,-66.75,38,2,11,4,10,7,11,12,1,3,4,5,6,6
65,44.583,-66.583,38,1,11,5,6,6,11,12,1,3,4,5,6,6
66,44.583,-66.417,38,1,11,5,6,6,11,12,1,3,4,5,6,6
74,44.417,-67.25,38,2,11,4,10,7,11,12,1,3,4,5,6,6
75,44.417,-67.083,38,2,11,4,10,7,11,12,1,3,4,5,6,6
76,44.417,-66.917,38,2,11,4,10,7,11,12,1,3,4,5,6,6
77,44.417,-66.75,38,2,11,4,10,7,11,12,1,3,4,5,6,6
78,44.432,-66.583,38,1,11,5,6,6,11,12,1,3,4,5,6,6
79,44.49,-66.485,38,1,11,5,6,6,11,12,1,3,4,5,6,6
86,44.25,-67.25,38,3,1,0,1,1,11,12,1,3,4,5,6,6
87,44.25,-67.083,38,3,1,0,1,1,11,12,1,3,4,5,6,6
88,44.25,-66.917,38,3,1,0,1,1,11,12,1,3,4,5,6,6
89,44.291,-66.792,38,3,1,0,1,1,11,12,1,3,4,5,6,6
96,44.018,-67.34,38,3,1,0,1,1,11,12,1,3,4,5,6,6
97,44.083,-67.25,38,3,1,0,1,1,11,12,1,3,4,5,6,6
98,44.083,-67.083,38,3,1,0,1,1,11,12,1,3,4,5,6,6
99,44.15,-66.976,38,3,1,0,1,1,11,12,1,3,4,5,6,6
107,43.928,-67.367,38,3,1,0,1,1,11,12,1,3,4,5,6,6
108,43.95,-67.299,38,3,1,0,1,1,11,12,1,3,4,5,6,6
337,45.081,-61.02,31A,1,1,7,6,1,4,4,5,5,6,6,7,7
338,45.196,-60.768,31A,2,0,5,4,0,4,4,5,5,6,6,7,7
339,45.356,-60.821,31A,3,0,4,3,0,4,4,5,5,6,6,7,7
340,45.379,-61.287,31A,4,0,2,2,0,4,4,5,5,6,6,7,7
331,44.745,-61.914,31B,1,2,4,2,,4,4,5,5,6,6,,
332,44.768,-61.788,31B,2,1,3,2,,4,4,5,5,6,6,,
333,44.822,-61.63,31B,3,1,3,2,,4,4,5,5,6,6,,
334,44.894,-61.435,31B,4,1,3,2,,4,4,5,5,6,6,,
335,44.955,-61.279,31B,5,1,2,1,,4,4,5,5,6,6,,
336,45.023,-61.161,31B,6,1,3,2,,4,4,5,5,6,6,,
